12332                                                                   |                                                                Carlos                                                                              |                                                                654654                                                                      |                                                                5654565                                                                   |                                                                Guatemala                                                                                |                                                                1232654                                                                   |                                                                A                                                                              |    Asignado    |                                                                2025-05-15                                                                  |                                                                2025-05-31  
56656                                                               |                                                            Mario                                                                           |                                                            12323123                                                                |                                                            56535254                                                              |                                                            Guastatoya                                                                           |                                                            565456                                                                |                                                            A                                                                          |                                        Disponible                                        |                                                            2025-05-02                                                              |                                                            2025-05-31  
20456                                                            |                                                         diego                                                                        |                                                         3051900910202                                                         |                                                         5653989                                                            |                                                         guatemala                                                                         |                                                         23233256                                                           |                                                         A                                                                       | Inactivo |                                                         2025-05-01                                                           |                                                         2025-05-01  
23654                                                       |                                                    Luis                                                                    |                                                    3221023260202                                                    |                                                    23544565                                                      |                                                    Guastatoya                                                                   |                                                    3221023260202                                                    |                                                    A                                                                  | Inactivo |                                                    2025-05-01                                                      |                                                    2025-05-10  
23656                                                      |                                                   Mynor                                                                  |                                                   3025023210202                                                   |                                                   89653214                                                     |                                                   Coban                                                                       |                                                   3025023210202                                                   |                                                   A                                                                 |                      Asignado                      |                                                   2025-05-01                                                     |                                                   2025-05-31  
89547                                                     |                                                  Maria                                                                 |                                                  2032145650202                                                  |                                                  65653214                                                    |                                                  Guastatoya                                                                 |                                                  2032145650202                                                  |                                                  A                                                                |                                                  Disponible                                                  |                                                  2025-05-01                                                    |                                                  2025-05-31  
36965                                                    |                                                 Arturo                                                               |                                                 1232656549595                                                 |                                                 65653214                                                   |                                                 Guastatoya                                                                |                                                 1232656549595                                                 |                                                 A                                                               |                                          Disponible                                          |                                                 2025-05-01                                                   |                                                 2025-05-31  
65655                                                   |                                                Jose                                                                |                                                6565232140202                                                |                                                56569595                                                  |                                                Morazan                                                                  |                                                6565232140202                                                |                                                A                                                              |                                                Disponible                                                |                                                2025-05-01                                                  |                                                2025-05-31  
89635                                                  |                                               Roberto                                                            |                                               3265989870202                                               |                                               56451232                                                 |                                               Estancia de la virgen                                                   |                                               3265989870202                                               |                                               A                                                             |                                               Disponible                                               |                                               2025-05-01                                                 |                                               2025-05-31  
56989                                                 |                                              Fernando                                                          |                                              1236654780202                                              |                                              65321456                                                |                                              Guatemala                                                              |                                              1236654780202                                              |                                              A                                                            |                                      Disponible                                      |                                              2025-05-01                                                |                                              2025-05-31  
